onchain_builder_project_id,devtooling_project_id,dependency_source
CKGgGNE6y4hKi6Vpzrv2lG6Q1h4Vzs7LARQ6MKBNbVg=,jYjf3SP3IiJ9lfEBt7gj8Me79zJFbihTR+zuHZXuQPA=,NPM
6E3DyJA6elKGNzeUnrVYN/T9kutfmbzXXNbOlvSfnZM=,+PfbGQq2fXc65J+R0ni5deEPvSbqCGwIUSGfsnt3swM=,NPM
UvyC6Todt+7bSozBcCi7nGv7/MtQgyukYFuRuRz6GfQ=,ISJwb3A6NNTyxbFJnVHANLlnawWh8kDARUXf4HZTd3s=,NPM
jE5/m8S1fjyZskOtn6fVXivG0cf5ruhyBRn2oWZagj4=,qG8wMwZc0z2iMNGmqEbE0yJCaHgGkvQgKL7w5NNjr2E=,NPM
/48A4/LZsBf1ztk3blMoY9kPQjx8knNp/EabsEszQ4Y=,wpZkDSZkSrAf85BQoNpzQpmnDcWdnN/5GFtHUPsa0aM=,NPM
QTGRjfPgumLZqvmjh/nP1wE3ZWzKnGhCY/E72h1wusw=,SYTvL1tiICyIVzhoaKP5OYM4G0dA9Np7t00qjDR6GkE=,NPM
As9H82L8UoJzE97yMeP4TbewafniYHdvyC68sIc/NlA=,SYTvL1tiICyIVzhoaKP5OYM4G0dA9Np7t00qjDR6GkE=,NPM
M7mj4E6rVNxqX6O3QbNNaworQ4q/zn9J1XKeZ4Ch2lY=,qG8wMwZc0z2iMNGmqEbE0yJCaHgGkvQgKL7w5NNjr2E=,NPM
hHje/yl10ng5XbAXgyeDEq3hxmOkjscMbS5XNqeAg7Q=,PyhUZNx6BtNb32p2YMEx2h6WrGOesDqk/rV1nuWAE3I=,NPM
E9H3Htqh4/dCGgu9GUI+ksk7cayGewmtONFiBQWlveo=,JEGKohqd4SMdF2XsPQx53SuYckF5GP2RrdX9vLzovBk=,NPM
SrAW7CxbX2q6KzPf1xXwJsc5IQZqIkDDOkAx3/nTS0M=,+PfbGQq2fXc65J+R0ni5deEPvSbqCGwIUSGfsnt3swM=,NPM
x2GWlHFUqBVbPwA6j96psk9R1KI+p+L4AQsSuTzS7EE=,PyhUZNx6BtNb32p2YMEx2h6WrGOesDqk/rV1nuWAE3I=,NPM
hE1BjGS8I9OXjnYATSkRnNJlsItBXO+CKXU6UPKJlRQ=,l6kVcu/tuzgNkXvebL+V0q7p22mPQk/KwrQs5ikWyoE=,NPM
i/gSAlLU7P+FhIOzDQEk2+c5aOXKLmzAQILG8vqqJOE=,qG8wMwZc0z2iMNGmqEbE0yJCaHgGkvQgKL7w5NNjr2E=,NPM
0wTetcgdAs7+boj3ROTnd7BiHXTxK1oGU3haIFFyc4s=,0iGupg8Tl/ZbEszVryfNppJEWx9S1fHu8Yi9t9NLnCM=,NPM
aGpGH8qz3FmBNtMGV/yB4PSWzsO7SlVKvqR+vk3+7NE=,ISJwb3A6NNTyxbFJnVHANLlnawWh8kDARUXf4HZTd3s=,NPM
RGNaZ+2RZeyelbd0QTGuPoxxsWBAELADGbDLHn347v0=,JEGKohqd4SMdF2XsPQx53SuYckF5GP2RrdX9vLzovBk=,NPM
BvXTdDsg+jdxF9BynZy+IJejoLAolScBB2Sq78SsU20=,OhSYsbVtaKOxdKm1wJ5WpNfFwiQtMhvVqx11g04Dj6s=,NPM
iOfFhoUyVo3E06Q1rH0JA6xoj/6XDj+7JQsnopmyhHQ=,SYTvL1tiICyIVzhoaKP5OYM4G0dA9Np7t00qjDR6GkE=,NPM
PjPqPTput/vvThUxx6bMhInMKHuCV3t1s+K4YiHjIRg=,+PfbGQq2fXc65J+R0ni5deEPvSbqCGwIUSGfsnt3swM=,NPM
2D5YRxufnDHKS+HeGRxq/fquJWda1owfPsxOQFcXAys=,D/EXUXnX8dbOCU6qXNGAgNxhLOdodwJNNjMPeLUHSu4=,NPM
1REayxT2FFKqDuO0cwddB3+seplhapiB5Y2XqC+4S3c=,PyhUZNx6BtNb32p2YMEx2h6WrGOesDqk/rV1nuWAE3I=,NPM
oSD0LKbjJGzhzGmFtIPwPVNjbpM+H0nYDjLqoqi1dFs=,cMvqc/MCp82+XAAIkdS+Ee7CD3MkLQwgO5QBbblIO5g=,NPM
LCI8TFIFGUudioEaZRR/WH6nLRppA/hazF5JKlZUil8=,NGbZU3ScsbMUnmgUnRJvqBXFPRljZDbDYozQSJw1Vh0=,NPM
